"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"1","CC BY 4.0","381000000"
"2","CC BY-NC 4.0","144000000"
"3","CC BY-NC-ND 4.0","145000000"
"4","CC BY-NC-SA 4.0","60700000"
"5","CC BY-ND 4.0","381000000"
"6","CC BY-SA 4.0","186000000"
"7","PDM 1.0","10600000"
"8","CC0 1.0","26600000"
"9","CC BY 3.0","146000000"
"10","CC BY-NC 3.0","49900000"
"11","CC BY-NC-ND 3.0","48100000"
"12","CC BY-NC-SA 3.0","20600000"
"13","CC BY-ND 3.0","176000000"
"14","CC BY-SA 3.0","81300000"
"15","CC BY 2.5","195000000"
"16","CC BY-NC 2.5","49200000"
"17","CC BY-NC-ND 2.5","49600000"
"18","CC BY-NC-SA 2.5","21700000"
"19","CC BY-ND 2.5","201000000"
"20","CC BY-SA 2.5","95500000"
"21","CC BY 2.0","141000000"
"22","CC BY-NC 2.0","35900000"
"23","CC BY-NC-ND 2.0","35800000"
"24","CC BY-NC-SA 2.0","16400000"
"25","CC BY-ND 2.0","172000000"
"26","CC BY-SA 2.0","57300000"
"27","CC BY 1.0","197000000"
"28","CC BY-NC 1.0","36800000"
"29","CC BY-NC-SA 1.0","16700000"
"30","CC BY-ND 1.0","197000000"
"31","CC BY-ND-NC 1.0","38900000"
"32","CC BY-SA 1.0","81300000"
"33","CC BY 3.0 AM","109000000"
"34","CC BY-NC 3.0 AM","28100000"
"35","CC BY-NC-ND 3.0 AM","27200000"
"36","CC BY-NC-SA 3.0 AM","13000000"
"37","CC BY-ND 3.0 AM","109000000"
"38","CC BY-SA 3.0 AM","46800000"
"39","CC BY 3.0 AT","382000000"
"40","CC BY-NC 3.0 AT","190000000"
"41","CC BY-NC-ND 3.0 AT","48200000"
"42","CC BY-NC-SA 3.0 AT","85200000"
"43","CC BY-ND 3.0 AT","176000000"
"44","CC BY-SA 3.0 AT","288000000"
"45","CC BY 3.0 AU","182000000"
"46","CC BY-NC 3.0 AU","38900000"
"47","CC BY-NC-ND 3.0 AU","9010000"
"48","CC BY-NC-SA 3.0 AU","16600000"
"49","CC BY-ND 3.0 AU","26200000"
"50","CC BY-SA 3.0 AU","85700000"
"51","CC BY 3.0 AZ","16900000"
"52","CC BY-NC 3.0 AZ","782000"
"53","CC BY-NC-ND 3.0 AZ","718000"
"54","CC BY-NC-SA 3.0 AZ","291000"
"55","CC BY-ND 3.0 AZ","16600000"
"56","CC BY-SA 3.0 AZ","5770000"
"57","CC BY 3.0 BR","32600000"
"58","CC BY-NC 3.0 BR","10000000"
"59","CC BY-NC-ND 3.0 BR","9990000"
"60","CC BY-NC-SA 3.0 BR","1120000"
"61","CC BY-ND 3.0 BR","32300000"
"62","CC BY-SA 3.0 BR","16800000"
"63","CC BY 3.0 CA","98800000"
"64","CC BY-NC 3.0 CA","23700000"
"65","CC BY-NC-ND 3.0 CA","23700000"
"66","CC BY-NC-SA 3.0 CA","11000000"
"67","CC BY-ND 3.0 CA","98200000"
"68","CC BY-SA 3.0 CA","44200000"
"69","CC BY 3.0 CH","69800000"
"70","CC BY-NC 3.0 CH","17400000"
"71","CC BY-NC-ND 3.0 CH","13800000"
"72","CC BY-NC-SA 3.0 CH","6030000"
"73","CC BY-ND 3.0 CH","69700000"
"74","CC BY-SA 3.0 CH","26900000"
"75","CC BY 3.0 CL","163000000"
"76","CC BY-NC 3.0 CL","41200000"
"77","CC BY-NC-ND 3.0 CL","8740000"
"78","CC BY-NC-SA 3.0 CL","20800000"
"79","CC BY-ND 3.0 CL","31600000"
"80","CC BY-SA 3.0 CL","90600000"
"81","CC BY 3.0 CN","19300000"
"82","CC BY-NC 3.0 CN","3220000"
"83","CC BY-NC-ND 3.0 CN","2810000"
"84","CC BY-NC-SA 3.0 CN","423000"
"85","CC BY-ND 3.0 CN","20500000"
"86","CC BY-SA 3.0 CN","7750000"
"87","CC BY 3.0 CR","30500000"
"88","CC BY-NC 3.0 CR","6520000"
"89","CC BY-NC-ND 3.0 CR","6120000"
"90","CC BY-NC-SA 3.0 CR","846000"
"91","CC BY-ND 3.0 CR","29300000"
"92","CC BY-SA 3.0 CR","18200000"
"93","CC BY 3.0 CZ","377000"
"94","CC BY-NC 3.0 CZ","162000"
"95","CC BY-NC-ND 3.0 CZ","156000"
"96","CC BY-NC-SA 3.0 CZ","91200"
"97","CC BY-ND 3.0 CZ","390000"
"98","CC BY-SA 3.0 CZ","206000"
"99","CC BY 3.0 DE","381000000"
"100","CC BY-NC 3.0 DE","149000000"
"101","CC BY-NC-ND 3.0 DE","25200000"
"102","CC BY-NC-SA 3.0 DE","69000000"
"103","CC BY-ND 3.0 DE","103000000"
"104","CC BY-SA 3.0 DE","234000000"
"105","CC BY 3.0 EC","180000000"
"106","CC BY-NC 3.0 EC","43300000"
"107","CC BY-NC-ND 3.0 EC","8240000"
"108","CC BY-NC-SA 3.0 EC","20500000"
"109","CC BY-ND 3.0 EC","35800000"
