"TOOL_IDENTIFIER","AUTHOR_BUCKET","COUNT"
"CC BY 3.0","1","2044"
"CC BY 3.0","2","2024"
"CC BY 3.0","3","1620"
"CC BY 3.0","4","842"
"CC BY 3.0","5+","1382"
"CC BY 4.0","1","73116"
"CC BY 4.0","2","105344"
"CC BY 4.0","3","110729"
"CC BY 4.0","4","83276"
"CC BY 4.0","5+","181161"
"CC BY-NC-ND 4.0","1","9635"
"CC BY-NC-ND 4.0","2","15842"
"CC BY-NC-ND 4.0","3","16912"
"CC BY-NC-ND 4.0","4","13330"
"CC BY-NC-ND 4.0","5+","29960"
"CC BY-NC-SA 3.0","1","1559"
"CC BY-NC-SA 3.0","2","1586"
"CC BY-NC-SA 3.0","3","1225"
"CC BY-NC-SA 3.0","4","680"
"CC BY-NC-SA 3.0","5+","823"
"CC BY-NC-SA 4.0","1","7221"
"CC BY-NC-SA 4.0","2","10726"
"CC BY-NC-SA 4.0","3","12304"
"CC BY-NC-SA 4.0","4","10012"
"CC BY-NC-SA 4.0","5+","23585"
"CC BY-SA 4.0","1","4146"
"CC BY-SA 4.0","2","5603"
"CC BY-SA 4.0","3","5915"
"CC BY-SA 4.0","4","4489"
"CC BY-SA 4.0","5+","9289"
"CC0 1.0","1","3806"
"CC0 1.0","2","4763"
"CC0 1.0","3","4386"
"CC0 1.0","4","2886"
"CC0 1.0","5+","5275"
