"PLAN_INDEX","TOOL_IDENTIFIER","LANGUAGE","COUNT"
"641","CC BY 4.0","Arabic","61100"
"642","CC BY 4.0","Bulgarian","21200"
"643","CC BY 4.0","Catalan","110000"
"644","CC BY 4.0","Chinese (Simplified)","196000"
"645","CC BY 4.0","Chinese (Traditional)","42600"
"646","CC BY 4.0","Croatian","69700"
"647","CC BY 4.0","Czech","139000"
"648","CC BY 4.0","Danish","95800"
"649","CC BY 4.0","Dutch","112000"
"650","CC BY 4.0","English","385000000"
"651","CC BY 4.0","Estonian","15200"
"652","CC BY 4.0","Finnish","84100"
"653","CC BY 4.0","French","4040000"
"654","CC BY 4.0","German","7030000"
"655","CC BY 4.0","Greek","42700"
"656","CC BY 4.0","Hebrew","48100"
"657","CC BY 4.0","Hungarian","42100"
"658","CC BY 4.0","Icelandic","23200"
"659","CC BY 4.0","Indonesian","5540000"
"660","CC BY 4.0","Italian","321000"
"661","CC BY 4.0","Japanese","286000"
"662","CC BY 4.0","Korean","130000"
"663","CC BY 4.0","Latvian","52300"
"664","CC BY 4.0","Lithuanian","57000"
"665","CC BY 4.0","Norwegian","96500"
"666","CC BY 4.0","Polish","279000"
"667","CC BY 4.0","Portuguese","2710000"
"668","CC BY 4.0","Romanian","37900"
"669","CC BY 4.0","Russian","748000"
"670","CC BY 4.0","Serbian","102000"
"671","CC BY 4.0","Slovak","38100"
"672","CC BY 4.0","Slovenian","158000"
"673","CC BY 4.0","Spanish","7850000"
"674","CC BY 4.0","Swedish","81100"
"675","CC BY 4.0","Turkish","225000"
"676","CC BY-NC 4.0","Arabic","8120"
"677","CC BY-NC 4.0","Bulgarian","811"
"678","CC BY-NC 4.0","Catalan","11500"
"679","CC BY-NC 4.0","Chinese (Simplified)","31200"
"680","CC BY-NC 4.0","Chinese (Traditional)","3000"
"681","CC BY-NC 4.0","Croatian","9180"
"682","CC BY-NC 4.0","Czech","9230"
"683","CC BY-NC 4.0","Danish","3360"
"684","CC BY-NC 4.0","Dutch","15200"
"685","CC BY-NC 4.0","English","140000000"
"686","CC BY-NC 4.0","Estonian","3890"
"687","CC BY-NC 4.0","Finnish","9150"
"688","CC BY-NC 4.0","French","3790000"
"689","CC BY-NC 4.0","German","76500"
"690","CC BY-NC 4.0","Greek","9600"
"691","CC BY-NC 4.0","Hebrew","2590"
"692","CC BY-NC 4.0","Hungarian","3110"
"693","CC BY-NC 4.0","Icelandic","7170"
"694","CC BY-NC 4.0","Indonesian","113000"
"695","CC BY-NC 4.0","Italian","25100"
