"PLAN_INDEX","TOOL_IDENTIFIER","COUNTRY","COUNT"
"921","CC BY 4.0","Afghanistan","491"
"922","CC BY 4.0","Albania","355"
"923","CC BY 4.0","Algeria","3760"
"924","CC BY 4.0","American Samoa","19"
"925","CC BY 4.0","Andorra","6"
"926","CC BY 4.0","Angola","281"
"927","CC BY 4.0","Anguilla","0"
"928","CC BY 4.0","Antarctica","3"
"929","CC BY 4.0","Antigua and Barbuda","10"
"930","CC BY 4.0","Argentina","53800"
"931","CC BY 4.0","Armenia","13500"
"932","CC BY 4.0","Aruba","19600"
"933","CC BY 4.0","Australia","202000"
"934","CC BY 4.0","Austria","30300"
"935","CC BY 4.0","Azerbaijan","1630"
"936","CC BY 4.0","Bahamas","6"
"937","CC BY 4.0","Bahrain","147"
"938","CC BY 4.0","Bangladesh","2270"
"939","CC BY 4.0","Barbados","6"
"940","CC BY 4.0","Belarus","580"
"941","CC BY 4.0","Belgium","96600"
"942","CC BY 4.0","Belize","3"
"943","CC BY 4.0","Benin","409"
"944","CC BY 4.0","Bermuda","4"
"945","CC BY 4.0","Bhutan","944"
"946","CC BY 4.0","Bolivia","1890"
"947","CC BY 4.0","Bosnia and Herzegovina","2190"
"948","CC BY 4.0","Botswana","151"
"949","CC BY 4.0","Bouvet Island","0"
"950","CC BY 4.0","Brazil","368000"
"951","CC BY 4.0","British Indian Ocean Territory","0"
"952","CC BY 4.0","Brunei Darussalam","397"
"953","CC BY 4.0","Bulgaria","18000"
"954","CC BY 4.0","Burkina Faso","80"
"955","CC BY 4.0","Burundi","4"
"956","CC BY 4.0","Cambodia","1700"
"957","CC BY 4.0","Cameroon","115"
"958","CC BY 4.0","Canada","338000"
"959","CC BY 4.0","Cape Verde","10"
"960","CC BY 4.0","Cayman Islands","4"
"961","CC BY 4.0","Central African Republic","0"
"962","CC BY 4.0","Chad","43"
"963","CC BY 4.0","Chile","12900"
"964","CC BY 4.0","China","84400"
"965","CC BY 4.0","Christmas Island","6"
"966","CC BY 4.0","Cocos (Keeling) Islands","0"
"967","CC BY 4.0","Colombia","49700"
"968","CC BY 4.0","Comoros","0"
"969","CC BY 4.0","Congo","42"
"970","CC BY 4.0","Congo, the Democratic Republic of the","29"
"971","CC BY 4.0","Cook Islands","21"
"972","CC BY 4.0","Costa Rica","15600"
"973","CC BY 4.0","Cote D'ivoire","18"
"974","CC BY 4.0","Croatia (Hrvatska)","18400"
"975","CC BY 4.0","Cuba","19300"
