"UNIT_CODE","DATA_SOURCE","CC0_RECORDS","CC0_RECORDS_WITH_CC0_MEDIA","TOTAL_OBJECTS"
"AAA","Archives of American Art","482923","0","5214037"
"AAG","Archives of American Gardens","63004","0","69211"
"ACAH","Archives Center, National Museum of American History","682740","0","730474"
"ACM","Anacostia Community Museum Archives","16164","247","75178"
"ACMA","Anacostia Community Museum Archives","15914","0","19717"
"CFCHFOLKLIFE","Ralph Rinzler Folklife Archives and Collections","97644","0","98665"
"CHNDM","Cooper Hewitt, Smithsonian Design Museum","58196","54628","201628"
"CHSDM","Cooper Hewitt, Smithsonian Design Museum","445","0","305277"
"EEPA","Eliot Elisofon Photographic Archives, National Museum of African Art","128454","0","128454"
"FBR","Smithsonian Field Book Project","1517","37","11248"
"FSA","National Museum of Asian Art Archives","36844","0","36844"
"FSG","National Museum of Asian Art","4719","4718","106296"
"HAC","Smithsonian Gardens","430","430","1437"
"HMSG","Hirshhorn Museum and Sculpture Garden","449","449","25566"
"HSFA","Human Studies Film Archives","8481","0","8780"
"NAA","National Anthropological Archives","246820","0","258203"
"NASM","National Air and Space Museum Archives","248676","999","2343117"
"NASMAC","National Air and Space Museum Archives","247661","0","247661"
"NMAA","National Museum of Asian Art","42878","9377","4634719"
"NMAAHC","National Museum of African American History and Culture","38159","4659","4415452"
"NMAH","National Museum of American History","1318593","12221","2933805"
"NMAI","National Museum of the American Indian","271359","180","428906"
"NMAIA","National Museum of the American Indian","33614","0","33614"
"NMAfA","National Museum of African Art","113","113","129102"
"NMNHANTHRO","NMNH - Anthropology Dept.","529659","0","529659"
"NMNHBIRDS","NMNH - Vertebrate Zoology - Birds Division","635449","559123","635449"
"NMNHBOTANY","NMNH - Botany Dept.","4588165","3588511","4588165"
"NMNHEDUCATION","NMNH - Education & Outreach","6977","4077","6977"
"NMNHENTO","NMNH - Entomology Dept.","810927","224086","810927"
"NMNHFISHES","NMNH - Vertebrate Zoology - Fishes Division","503508","10821","503508"
"NMNHHERPS","NMNH - Vertebrate Zoology - Herpetology Division","632086","2526","632086"
"NMNHINV","NMNH - Invertebrate Zoology Dept.","2029189","70728","2029189"
"NMNHMAMMALS","NMNH - Vertebrate Zoology - Mammals Division","626166","542029","626166"
"NMNHMINSCI","NMNH - Mineral Sciences Dept.","465699","11311","465699"
"NMNHPALEO","NMNH - Paleobiology Dept.","746241","97303","746241"
"NPG","Catalog of American Portraits","16188","14657","170805"
"NPM","National Postal Museum","13296","8579","136135"
"NPMA","National Postal Museum Archives","1816","0","1816"
"NZP","National Zoo","1061","1061","5957"
"OCIO_DPO3D","NMNH - Vertebrate Zoology - Mammals Division","112","3605","4288"
"OFEO-SG","Smithsonian Gardens","23614","4848","24981"
"SAAM","Photograph Study Collection, Smithsonian American Art Museum","17271","12996","363102"
"SAAMPAIK","Smithsonian American Art Museum, Research and Scholars Center","410","0","410"
"SIA","Smithsonian Institution Archives","899104","5477","1558769"
"SIL","Smithsonian Libraries","1036747","13567","1196347"
"SILAF","Smithsonian Libraries","63416","0","63416"
"SILNMAHTL","Smithsonian Libraries","34577","0","34577"
"SLA_SRO","Smithsonian Libraries and Archives","104811","0","104811"
