"LANGUAGE_CODE","LANGUAGE_NAME_EN","LANGUAGE_NAME","COUNT"
"ab","Abkhazian","аԥсшәа","6599"
"ace","Acehnese","Acèh","13070"
"ady","Adyghe","адыгабзэ","646"
"af","Afrikaans","Afrikaans","129629"
"alt","Southern Altai","алтай тил","1110"
"am","Amharic","አማርኛ","15701"
"ami","Amis","Pangcah","1150"
"an","Aragonese","aragonés","81520"
"ang","Old English","Ænglisc","5215"
"ann","Obolo","Obolo","435"
"anp","Angika","अंगिका","1686"
"ar","Arabic","العربية","1322296"
"arc","Aramaic","ܐܪܡܝܐ","1920"
"ary","Moroccan Arabic","الدارجة","19125"
"arz","Egyptian Arabic","مصرى","1632212"
"as","Assamese","অসমীয়া","24553"
"ast","Asturian","asturianu","139129"
"atj","Atikamekw","Atikamekw","2080"
"av","Avaric","авар","4016"
"avk","Kotava","Kotava","29900"
"awa","Awadhi","अवधी","2850"
"ay","Aymara","Aymar aru","5285"
"az","Azerbaijani","azərbaycanca","215688"
"azb","South Azerbaijani","تۆرکجه","244684"
"ba","Bashkir","башҡортса","64288"
"ban","Balinese","Basa Bali","37972"
"bar","Bavarian","Boarisch","27230"
"bbc","Batak Toba","Batak Toba","1431"
"bcl","Central Bikol","Bikol Central","22327"
"bdr","West Coast Bajau","Bajau Sama","242"
"be","Belarusian","беларуская","264474"
"be-tarask","Belarusian (Taraškievica orthography)","беларуская (тарашкевіца)","91095"
"bew","Betawi","Betawi","3332"
"bg","Bulgarian","български","311000"
"bh","Bhojpuri","भोजपुरी","9097"
"bi","Bislama","Bislama","1486"
"bjn","Banjar","Banjar","11966"
"blk","Pa'O","ပအိုဝ်ႏဘာႏသာႏ","3071"
"bm","Bambara","bamanankan","931"
"bn","Bangla","বাংলা","188798"
"bo","Tibetan","བོད་ཡིག","8071"
"bpy","Bishnupriya","বিষ্ণুপ্রিয়া মণিপুরী","25096"
"br","Breton","brezhoneg","91409"
"bs","Bosnian","bosanski","98389"
"btm","Batak Mandailing","Batak Mandailing","1229"
"bug","Buginese","Basa Ugi","15961"
"bxr","Russia Buriat","буряад","2918"
"ca","Catalan","català","796400"
"cbk-zam","Chavacano","Chavacano de Zamboanga","3103"
"cdo","Mindong","閩東語 / Mìng-dĕ̤ng-ngṳ̄","16722"
"ce","Chechen","нохчийн","866369"
"ceb","Cebuano","Cebuano","6115345"
"ch","Chamorro","Chamoru","582"
"cho","Choctaw","Chahta anumpa","6"
"chr","Cherokee","ᏣᎳᎩ","1002"
"chy","Cheyenne","Tsetsêhestâhese","1858"
"ckb","Central Kurdish","کوردی","82167"
"co","Corsican","corsu","9224"
"crh","Crimean Tatar","qırımtatarca","29714"
"cs","Czech","čeština","594457"
"csb","Kashubian","kaszëbsczi","5628"
"cu","Church Slavic","словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ","1424"
"cv","Chuvash","чӑвашла","59077"
"cy","Welsh","Cymraeg","284248"
"da","Danish","dansk","314746"
"dag","Dagbani","dagbanli","14186"
"de","German","Deutsch","3132758"
"dga","Southern Dagaare","Dagaare","3357"
"din","Dinka","Thuɔŋjäŋ","337"
"diq","Dimli","Zazaki","42672"
"dsb","Lower Sorbian","dolnoserbski","3444"
"dtp","Central Dusun","Kadazandusun","1834"
"dty","Doteli","डोटेली","3735"
"dv","Divehi","ދިވެހިބަސް","3218"
"dz","Dzongkha","ཇོང་ཁ","382"
"ee","Ewe","eʋegbe","1352"
"el","Greek","Ελληνικά","270695"
"eml","Emiliano-Romagnolo","emiliàn e rumagnòl","14159"
"en","English","English","7203593"
"eo","Esperanto","Esperanto","387163"
"es","Spanish","español","2122720"
"et","Estonian","eesti","260618"
"eu","Basque","euskara","491480"
"ext","Extremaduran","estremeñu","4239"
"fa","Persian","فارسی","1078660"
"fat","Fanti","mfantse","1795"
"ff","Fula","Fulfulde","20356"
"fi","Finnish","suomi","620924"
"fj","Fijian","Na Vosa Vakaviti","1725"
"fo","Faroese","føroyskt","14218"
"fon","Fon","fɔ̀ngbè","4302"
"fr","French","français","2767289"
"frp","Arpitan","arpetan","5830"
"frr","Northern Frisian","Nordfriisk","21280"
"fur","Friulian","furlan","5065"
"fy","Western Frisian","Frysk","60290"
"ga","Irish","Gaeilge","64149"
"gag","Gagauz","Gagauz","3007"
"gan","Gan","贛語","6816"
"gcr","Guianan Creole","kriyòl gwiyannen","1077"
"gd","Scottish Gaelic","Gàidhlig","16058"
"gl","Galician","galego","232239"
"glk","Gilaki","گیلکی","48313"
"gn","Guarani","Avañe'ẽ","6032"
"gom","Goan Konkani","गोंयची कोंकणी / Gõychi Konknni","3643"
"gor","Gorontalo","Bahasa Hulontalo","15117"
"got","Gothic","𐌲𐌿𐍄𐌹𐍃𐌺","1011"
"gpe","Ghanaian Pidgin","Ghanaian Pidgin","5465"
"gsw","Alemannic","Alemannisch","31714"
"gu","Gujarati","ગુજરાતી","30845"
"guc","Wayuu","wayuunaiki","702"
"gur","Frafra","farefare","1372"
"guw","Gun","gungbe","1693"
"gv","Manx","Gaelg","7109"
"ha","Hausa","Hausa","105537"
"hak","Hakka Chinese","客家語 / Hak-kâ-ngî","10436"
"haw","Hawaiian","Hawaiʻi","2897"
"he","Hebrew","עברית","399820"
"hi","Hindi","हिन्दी","170450"
"hif","Fiji Hindi","Fiji Hindi","12340"
"ho","Hiri Motu","Hiri Motu","3"
"hr","Croatian","hrvatski","233898"
"hsb","Upper Sorbian","hornjoserbsce","14262"
"ht","Haitian Creole","Kreyòl ayisyen","71952"
"hu","Hungarian","magyar","570674"
"hy","Armenian","հայերեն","329102"
"hyw","Western Armenian","Արեւմտահայերէն","13932"
"ia","Interlingua","interlingua","30462"
"iba","Iban","Jaku Iban","2467"
"id","Indonesian","Bahasa Indonesia","782418"
"ie","Interlingue","Interlingue","13678"
"ig","Igbo","Igbo","47336"
"igl","Igala","Igala","1510"
"ii","Sichuan Yi","ꆇꉙ","3"
"ik","Inupiaq","Iñupiatun","595"
"ilo","Iloko","Ilokano","15513"
"inh","Ingush","гӀалгӀай","2547"
"io","Ido","Ido","62575"
"is","Icelandic","íslenska","61106"
"isv","medžuslovjansky","medžuslovjansky","1409"
"it","Italian","italiano","1976033"
"iu","Inuktitut","ᐃᓄᒃᑎᑐᑦ / inuktitut","434"
"ja","Japanese","日本語","1508153"
"jam","Jamaican Creole English","Patois","1719"
"jbo","Lojban","la .lojban.","1353"
"jv","Javanese","Jawa","75295"
"ka","Georgian","ქართული","196690"
"kaa","Kara-Kalpak","Qaraqalpaqsha","13245"
"kab","Kabyle","Taqbaylit","7143"
"kai","Karekare","Karai-karai","1639"
"kaj","Jju","Jju","301"
"kbd","Kabardian","адыгэбзэ","1669"
"kbp","Kabiye","Kabɩyɛ","1714"
"kcg","Tyap","Tyap","1806"
"kg","Kongo","Kongo","1949"
"kge","Komering","Kumoring","2906"
"ki","Kikuyu","Gĩkũyũ","2457"
"kj","Kuanyama","Kwanyama","4"
"kk","Kazakh","қазақша","244157"
"km","Khmer","ភាសាខ្មែរ","12137"
"kn","Kannada","ಕನ್ನಡ","35216"
"knc","Central Kanuri","Yerwa Kanuri","1852"
"ko","Korean","한국어","752181"
"koi","Komi-Permyak","перем коми","3472"
"krc","Karachay-Balkar","къарачай-малкъар","2847"
"ks","Kashmiri","کٲشُر","11040"
"ksh","Colognian","Ripoarisch","3038"
"ku","Kurdish","kurdî","91891"
"kus","Kusaal","Kʋsaal","1358"
"kv","Komi","коми","5818"
"kw","Cornish","kernowek","7204"
"ky","Kyrgyz","кыргызча","76486"
